Old Url,New Url
/,/
/home,/
/index.html,/
/OfficeInfo/AbouttheDoctor/tabid/58/Default.aspx,/office/meet-dr-michaud
/OfficeInfo/StaffDirectory/tabid/59/Default.aspx,/office/meet-our-team
/OfficeInfo/OfficePoliciesMission/tabid/60/Default.aspx,/office/office-policies-mission
/OfficeInfo/MapsDirections/tabid/61/Default.aspx,/office/map-directions
/OfficeInfo/FinancialInsurance/tabid/62/Default.aspx,/office/financial-insurance
/OfficeInfo/AppointmentRequest/tabid/63/Default.aspx,/office/appointment-request
/OfficeInfo/ContactUs/tabid/64/Default.aspx,/contact-us
/OfficeInfo/PatientTestimonials/tabid/92/Default.aspx,/office/patient-testimonials
/PatientInfo/FirstVisit/tabid/68/Default.aspx,/patient/first-visit
/PatientInfo/PatientForms/tabid/91/Default.aspx,/patient/patient-forms
/OfficeInfo/tabid/57/Default.aspx,/office
/Miscellaneous/tabid/85/Default.aspx,/miscellaneous
/PatientInfo/BeforeAfter/tabid/70/Default.aspx,/patient/before-after
/PatientInfo/FAQ/tabid/71/Default.aspx,/patient/faq
/Treatment/tabid/78/Default.aspx,/treatment
/PatientInfo/CommonProblems/tabid/73/Default.aspx,/patient/common-problems
/PatientInfo/EmergencyInfo/tabid/74/Default.aspx,/patient/emergencies
/PatientInfo/BrushingFlossing/tabid/75/Default.aspx,/patient/brushing-flossing
/PatientInfo/DentalHealth/tabid/76/Default.aspx,/patient/dental-health
/Treatment/EarlyDentalcare/tabid/79/Default.aspx,/treatment/early-dental-care
/Treatment/GeneralTreatment/tabid/80/Default.aspx,/treatment/general-treatment
/Treatment/Laser/tabid/81/Default.aspx,/treatment/laser
/Treatment/Implants/tabid/83/Default.aspx,/treatment/dental-implants
/PatientInfo/tabid/67/Default.aspx,/patient
/Miscellaneous/RelatedLinks/tabid/86/Default.aspx,/miscellaneous/related-links
/Miscellaneous/Glossary/tabid/88/Default.aspx,/miscellaneous/glossary
